text,qid,location_name,country,continent,signal_type,ambiguous_name,other_referents,latitude,longitude
"Kaizer Chiefs were absolutely shocking on Saturday, my whole section of the stand just went silent after the third goal. walked home past the mine dumps in the dark fuming",Q34647,Johannesburg,South Africa,Africa,A,,,-26.204361111,28.041638888
"Enyimba match postponed AGAIN cos the pitch is a swimming pool 😭 third time this season. sat in go-slow for an hour watching hawkers sell pure water between cars, absolute waste of my Saturday",Q202162,Aba,Nigeria,Africa,A,,,5.116666666,7.366666666
"living three streets from the Asante Kotoko stadium is a CURSE on derby nights. chanting till midnight, car horns, fireworks. my shoes are covered in red dust from walking home. I need to move",Q182059,Kumasi,Ghana,Africa,A,,,6.7,-1.625
"if your cousin ever drags you to an ASC Jaraaf match just say yes. went expecting nothing and the atmosphere was unreal, fish stalls going crazy on the coast road after, 10/10 evening",Q3718,Dakar,Senegal,Africa,A,,,14.672555555,-17.432
"Wydad fans absolutely lost it after the equaliser, the atmosphere in the stands was deafening. walked back through the old medina quarter afterward and the cafes were packed with people arguing about the ref",Q7903,Casablanca,Morocco,Africa,A,,,33.599166666,-7.62
unpopular opinion: Primeiro de Agosto are actually going to win it this year. the bay road traffic will be unbearable on match day but idc im going,Q3897,Luanda,Angola,Africa,A,,,-8.838333333,13.234444444
my neighbour has been blasting Diamond Platnumz since like 8pm and its a TUESDAY. some of us have work. at least the sea breeze finally kicked in so i can sleep with windows open instead of listening to bass through the wall,Q1960,Dar es Salaam,Tanzania,Africa,A,,,-6.816111111,39.280277777
"heard Angelique Kidjo is doing a free show near the lagoon next month and I genuinely screamed. it gets so packed for harbour events though, gonna have to go early",Q3799,Porto-Novo,Benin,Africa,A,,,6.483333333,2.616666666
"my friend works at Capcom and hasn't slept properly in two weeks, brought him lunch near the castle area today and he looked like a ghost. the street food stalls along the canal were packed though",Q35765,Osaka,Japan,Asia,A,,,34.69375,135.502111111
did anyone else's neighbour set off fireworks after the Sepahan match last night?? 11pm on a weeknight. the bridge was gridlocked with fans honking. i have a 6am shift people,Q42053,Isfahan,Iran,Asia,A,,,32.6525,51.675
Mohun Bagan days are genuinely chaotic. the rickshaws near the river crossing after the match... forget it. gridlocked. everyone singing. love it and hate it,Q1348,Kolkata,India,Asia,A,,,22.5675,88.37
"Persepolis losing has become so predictable my dad's post-match phone rant is basically a weekly podcast at this point. walked home and couldn't see the mountains through the smog, fitting really",Q3616,Tehran,Iran,Asia,A,,,35.688888888,51.389722222
"my cousin just got hired at Viettel and is acting all casual about it meanwhile the family group chat has 400 messages of congratulations 😂 the old quarter was so pretty on my walk home too, lanterns on the lake",Q1858,Hanoi,Vietnam,Asia,A,,,21.0245,105.84117
"post-Grampus match miso katsu near the station is becoming my whole personality. walked through the electronics district to get there and the neon at 4pm was already going, love this place",Q11751,Nagoya,Japan,Asia,A,,,35.181388888,136.906388888
Al Hilal match at 8pm and it was STILL 42 degrees. who schedules this. the date palms were barely moving which means zero wind. sweated through my shirt before kickoff,Q3692,Riyadh,Saudi Arabia,Asia,A,,,24.65,46.71
"BRAC training session ran three hours over and I missed my bus. walked home past the garment district in the dark, rickshaws everywhere and the heat still brutal even at 10pm",Q1354,Dhaka,Bangladesh,Asia,A,,,23.728888888,90.394444444
new IAM album is actually incredible?? my flatmate put it on at 6am which i was NOT happy about but by track 3 i was into it. the mistral nearly killed me walking to work along the harbour tho,Q23482,Marseille,France,Europe,A,,,43.296666666,5.376388888
my barber spent 20 minutes ranting about Dejan Stankovic's coaching instead of cutting my hair. the fortress on the hill looked gorgeous in the sunset on the walk home at least,Q3711,Belgrade,Serbia,Europe,A,,,44.817777777,20.456944444
hot take: Legia are actually not that bad this season and the results don't reflect the performances. fight me in the comments. tram home through the old town was depressing tho everyone looked miserable,Q270,Warsaw,Poland,Europe,A,,,52.23,21.011111111
"Druid Theatre rehearsals visible through the window, rain going sideways, pubs filling up at 4pm, trad session starting early. just another afternoon really",Q129610,Galway,Ireland,Europe,A,,,53.2719,-9.0488
Torino FC need to sort their defence out or I'm going to age ten years by Christmas. grabbed an espresso near the piazza and watched the fog roll in from the hills,Q495,Turin,Italy,Europe,A,,,45.079166666,7.676111111
"Brondby lost. my colleague hasn't said a word since. gorgeous cycle home past the harbour though, container ships and sunset, hard to stay mad at anything",Q1748,Copenhagen,Denmark,Europe,A,,,55.676111111,12.568888888
an Obolon delivery truck has blocked my ENTIRE street and i cant get my car out. been 20 minutes. the chestnut trees are in bloom though so at least the walk to work will be nice if i ever escape,Q1899,Kyiv,Ukraine,Europe,A,,,50.45,30.523611111
"Estrella Damm on the balcony, cruise ships pulling into the harbour, tourists flooding the narrow streets below... tapas prices have doubled since may btw. absolute robbery",Q1492,Barcelona,Spain,Europe,A,,,41.3825,2.176944444
"Yazoo Brewing taproom. tuesday 6pm. half my office already here. this is becoming a problem. walked through the honky tonk strip after and it was dead except for tourists, this town switches off early on weekdays lol",Q23197,Nashville,United States,North America,A,,,36.162222222,-86.774444444
"Club America fans are UNHINGED after the derby 😂 fireworks outside the stadium for hours, honking all the way home. the altitude makes walking uphill afterwards genuinely painful, my lungs were screaming",Q1489,Mexico City,Mexico,North America,A,,,19.353773,-99.13589
